URL,mathematics,physicalscience,English,history,medicalscience,religion
http://news.naver.com/main/ranking/read.nhn?mid=etc&sid1=111&rankingType=popular_day&oid=020&aid=0003086107&date=20170810&type=1&rankingSectionId=000&rankingSeq=1,7415.7,7766.4,7292.5,10578.7,7271,8549.1
http://news.naver.com/main/ranking/read.nhn?mid=etc&sid1=111&rankingType=popular_day&oid=001&aid=0009465422&date=20170810&type=1&rankingSectionId=000&rankingSeq=2,3123.7,6129.4,4750.5,8891.9,6333.7,6755.5
http://news.naver.com/main/ranking/read.nhn?mid=etc&sid1=111&rankingType=popular_day&oid=020&aid=0003086107&date=20170810&type=1&rankingSectionId=000&rankingSeq=1,7415.7,7766.4,7292.5,10578.7,7271,8549.1
http://news.naver.com/main/ranking/read.nhn?mid=etc&sid1=111&rankingType=popular_day&oid=001&aid=0009465422&date=20170810&type=1&rankingSectionId=000&rankingSeq=2,3123.7,6129.4,4750.5,8891.9,6333.7,6755.5
http://news.naver.com/main/ranking/read.nhn?mid=etc&sid1=111&rankingType=popular_day&oid=001&aid=0009465309&date=20170810&type=1&rankingSectionId=000&rankingSeq=3,7839.7,10270,10248.5,10986.7,10420.7,11028
http://news.naver.com/main/ranking/read.nhn?mid=etc&sid1=111&rankingType=popular_day&oid=005&aid=0001016617&date=20170810&type=1&rankingSectionId=000&rankingSeq=5,7266,8311.2,9270.6,7760.8,9462.9,8999.2
http://news.naver.com/main/ranking/read.nhn?mid=etc&sid1=111&rankingType=popular_day&oid=055&aid=0000557244&date=20170810&type=2&rankingSectionId=000&rankingSeq=6,6409.4,8799.8,6901.8,6108.4,7700.1,7588
http://news.naver.com/main/ranking/read.nhn?mid=etc&sid1=111&rankingType=popular_day&oid=055&aid=0000557248&date=20170810&type=2&rankingSectionId=000&rankingSeq=7,9493,11165.4,9489.8,10472.2,11449.2,10632.2
http://news.naver.com/main/ranking/read.nhn?mid=etc&sid1=111&rankingType=popular_day&oid=023&aid=0003304025&date=20170810&type=1&rankingSectionId=000&rankingSeq=8,3205.7,5663.3,5092.6,7756.9,6553.6,7394.6
http://news.naver.com/main/ranking/read.nhn?mid=etc&sid1=111&rankingType=popular_day&oid=005&aid=0001016603&date=20170810&type=1&rankingSectionId=000&rankingSeq=9,5069.3,8081.1,7220,10089.3,8723.1,7652.7
http://news.naver.com/main/ranking/read.nhn?mid=etc&sid1=111&rankingType=popular_day&oid=020&aid=0003086055&date=20170810&type=1&rankingSectionId=000&rankingSeq=10,6938,8597.1,9683.3,9730.9,10274.1,9405.6
http://news.naver.com/main/ranking/read.nhn?mid=etc&sid1=111&rankingType=popular_day&oid=001&aid=0009465321&date=20170810&type=1&rankingSectionId=000&rankingSeq=11,4319.8,6659,5967.1,7966.3,13324.6,7713.6
http://news.naver.com/main/ranking/read.nhn?mid=etc&sid1=111&rankingType=popular_day&oid=014&aid=0003856381&date=20170810&type=1&rankingSectionId=000&rankingSeq=12,5372.4,7301.1,6484.4,6951.2,6540.9,7918.4
http://news.naver.com/main/ranking/read.nhn?mid=etc&sid1=111&rankingType=popular_day&oid=079&aid=0002998930&date=20170810&type=1&rankingSectionId=000&rankingSeq=13,9769.6,12154.3,13640.2,12573.1,12892,13748.2
http://news.naver.com/main/ranking/read.nhn?mid=etc&sid1=111&rankingType=popular_day&oid=001&aid=0009465271&date=20170810&type=1&rankingSectionId=000&rankingSeq=14,7807.4,8779,8903.7,10228.3,8211.5,10027.2
http://news.naver.com/main/ranking/read.nhn?mid=etc&sid1=111&rankingType=popular_day&oid=056&aid=0010491641&date=20170810&type=1&rankingSectionId=000&rankingSeq=15,5589.2,7040.3,6807.8,9168.5,9175.4,7757.5
http://news.naver.com/main/ranking/read.nhn?mid=etc&sid1=111&rankingType=popular_day&oid=081&aid=0002844111&date=20170810&type=1&rankingSectionId=000&rankingSeq=16,4919.5,6971.1,5913.9,8888,7896.1,8250.2
http://news.naver.com/main/ranking/read.nhn?mid=etc&sid1=111&rankingType=popular_day&oid=346&aid=0000016482&date=20170810&type=1&rankingSectionId=000&rankingSeq=17,5964.4,6828.9,6756.8,5800.9,10716.4,6450.7
http://news.naver.com/main/ranking/read.nhn?mid=etc&sid1=111&rankingType=popular_day&oid=003&aid=0008113767&date=20170810&type=1&rankingSectionId=000&rankingSeq=18,2829.6,3270.1,2850.1,3701.7,3562.1,4107.7
http://news.naver.com/main/ranking/read.nhn?mid=etc&sid1=111&rankingType=popular_day&oid=023&aid=0003304012&date=20170810&type=1&rankingSectionId=000&rankingSeq=19,5494.7,8661.4,7025.4,8188.4,10253.9,8292.2
http://news.naver.com/main/ranking/read.nhn?mid=etc&sid1=111&rankingType=popular_day&oid=001&aid=0009465315&date=20170810&type=1&rankingSectionId=000&rankingSeq=20,3301.7,8708.4,6408.8,10514.8,9602.7,9823.4
http://news.naver.com/main/ranking/read.nhn?mid=etc&sid1=111&rankingType=popular_day&oid=025&aid=0002743766&date=20170810&type=1&rankingSectionId=000&rankingSeq=21,6806.2,9477.2,7489.1,9641,10422.9,8592.8
http://news.naver.com/main/ranking/read.nhn?mid=etc&sid1=111&rankingType=popular_day&oid=469&aid=0000225134&date=20170810&type=1&rankingSectionId=000&rankingSeq=22,6377.9,8394.3,8004,8496.9,8929.3,7978.2
http://news.naver.com/main/ranking/read.nhn?mid=etc&sid1=111&rankingType=popular_day&oid=016&aid=0001275573&date=20170810&type=1&rankingSectionId=000&rankingSeq=23,5603.5,7433.5,7723.5,9690.1,9370,8558.2
http://news.naver.com/main/ranking/read.nhn?mid=etc&sid1=111&rankingType=popular_day&oid=023&aid=0003304039&date=20170810&type=1&rankingSectionId=000&rankingSeq=24,6656.2,8292.4,7175.3,10678.4,8459.7,8240.9
http://news.naver.com/main/ranking/read.nhn?mid=etc&sid1=111&rankingType=popular_day&oid=052&aid=0001044845&date=20170810&type=2&rankingSectionId=000&rankingSeq=25,5642.5,8676.7,8347.2,7800.4,9316.6,7521.3
http://news.naver.com/main/ranking/read.nhn?mid=etc&sid1=111&rankingType=popular_day&oid=001&aid=0009465329&date=20170810&type=1&rankingSectionId=000&rankingSeq=26,4795.1,5675.1,4569.9,5270.8,5066.2,5323.6
http://news.naver.com/main/ranking/read.nhn?mid=etc&sid1=111&rankingType=popular_day&oid=020&aid=0003086145&date=20170810&type=1&rankingSectionId=000&rankingSeq=27,7118.9,9586.6,8365.1,9444.3,10727.1,8382.2
http://news.naver.com/main/ranking/read.nhn?mid=etc&sid1=111&rankingType=popular_day&oid=421&aid=0002883866&date=20170810&type=1&rankingSectionId=000&rankingSeq=28,4840.6,7663.6,7626.2,8894.4,9142,8158.2
http://news.naver.com/main/ranking/read.nhn?mid=etc&sid1=111&rankingType=popular_day&oid=001&aid=0009465297&date=20170810&type=1&rankingSectionId=000&rankingSeq=29,4396.8,5365.4,5779.8,6211.5,7386.1,6975.9
http://news.naver.com/main/ranking/read.nhn?mid=etc&sid1=111&rankingType=popular_day&oid=003&aid=0008113688&date=20170810&type=1&rankingSectionId=000&rankingSeq=30,2734.8,3475.2,3086.6,4918.5,4294.3,4057.6
http://news.naver.com/main/ranking/read.nhn?mid=etc&sid1=111&rankingType=popular_day&oid=020&aid=0003086113&date=20170810&type=1&rankingSectionId=000&rankingSeq=31,5210.4,6629,6845.2,7329.4,6225.7,7461.8
http://news.naver.com/main/ranking/read.nhn?mid=etc&sid1=111&rankingType=popular_day&oid=277&aid=0004052150&date=20170810&type=1&rankingSectionId=000&rankingSeq=32,3935.7,5959.6,4988.4,7244.3,7434.4,6365.2
http://news.naver.com/main/ranking/read.nhn?mid=etc&sid1=111&rankingType=popular_day&oid=025&aid=0002743826&date=20170810&type=0&rankingSectionId=000&rankingSeq=33,4884.8,7684.4,7158,11662.5,8458.9,9538.7
http://news.naver.com/main/ranking/read.nhn?mid=etc&sid1=111&rankingType=popular_day&oid=001&aid=0009465238&date=20170810&type=1&rankingSectionId=000&rankingSeq=34,4772.9,6558.6,6596.1,9664.1,6661.8,7640.6
